Zafra,grupo,LOTE_N,CATEGORIA,NDVI,
2022/2023,"(90,120]",3540111,BAJA RESPUESTA,0.626117945,
2023/2024,"(0,30]",120105,BAJA RESPUESTA,0.19900423,
2023/2024,"(0,30]",150103,BAJA RESPUESTA,0.248044407,
2023/2024,"(0,30]",150104,BAJA RESPUESTA,0.268679626,
2023/2024,"(0,30]",150203,ALTA RESPUESTA,0.25568918,
2023/2024,"(0,30]",150203,BAJA RESPUESTA,0.244227499,
2023/2024,"(0,30]",150204,ALTA RESPUESTA,0.277337192,
2023/2024,"(0,30]",150204,BAJA RESPUESTA,0.274416394,
2023/2024,"(0,30]",150401,ALTA RESPUESTA,0.27636729,
2023/2024,"(0,30]",150401,BAJA RESPUESTA,0.285120164,
2023/2024,"(0,30]",620101,ALTA RESPUESTA,0.278421553,
2023/2024,"(0,30]",620101,BAJA RESPUESTA,0.241420049,
2023/2024,"(0,30]",620103,ALTA RESPUESTA,0.30033779,
2023/2024,"(0,30]",620103,BAJA RESPUESTA,0.27768224,
2023/2024,"(0,30]",620202,BAJA RESPUESTA,0.292625104,
2023/2024,"(0,30]",3360103,ALTA RESPUESTA,0.236284793,
2023/2024,"(0,30]",3360103,BAJA RESPUESTA,0.227427448,
2023/2024,"(120,150]",120101,BAJA RESPUESTA,0.684673194,
2023/2024,"(120,150]",120102,BAJA RESPUESTA,0.676642037,
2023/2024,"(120,150]",120103,BAJA RESPUESTA,0.6224691,
2023/2024,"(120,150]",300101,ALTA RESPUESTA,0.671528481,
2023/2024,"(120,150]",300101,BAJA RESPUESTA,0.610277622,
2023/2024,"(120,150]",300102,ALTA RESPUESTA,0.752824563,
2023/2024,"(120,150]",300103,ALTA RESPUESTA,0.71455626,
2023/2024,"(120,150]",300103,BAJA RESPUESTA,0.67060847,
2023/2024,"(120,150]",300104,ALTA RESPUESTA,0.722065477,
2023/2024,"(120,150]",300104,BAJA RESPUESTA,0.624474513,
2023/2024,"(120,150]",300105,ALTA RESPUESTA,0.48850912,
2023/2024,"(120,150]",300105,BAJA RESPUESTA,0.456440256,
2023/2024,"(120,150]",300106,ALTA RESPUESTA,0.612669926,
2023/2024,"(120,150]",300106,BAJA RESPUESTA,0.633455297,
2023/2024,"(120,150]",300107,ALTA RESPUESTA,0.678434218,
2023/2024,"(120,150]",300107,BAJA RESPUESTA,0.667238744,
2023/2024,"(120,150]",300108,ALTA RESPUESTA,0.615559909,
2023/2024,"(120,150]",300108,BAJA RESPUESTA,0.65553636,
2023/2024,"(120,150]",300109,ALTA RESPUESTA,0.644509644,
2023/2024,"(120,150]",300110,ALTA RESPUESTA,0.653964136,
2023/2024,"(120,150]",300110,BAJA RESPUESTA,0.62744408,
2023/2024,"(120,150]",300111,ALTA RESPUESTA,0.520443395,
2023/2024,"(120,150]",300112,ALTA RESPUESTA,0.591615809,
2023/2024,"(120,150]",300112,BAJA RESPUESTA,0.44890269,
2023/2024,"(120,150]",300113,ALTA RESPUESTA,0.48485328,
2023/2024,"(120,150]",300113,BAJA RESPUESTA,0.5692443,
2023/2024,"(120,150]",300301,ALTA RESPUESTA,0.628699286,
2023/2024,"(120,150]",300301,BAJA RESPUESTA,0.533386924,
2023/2024,"(120,150]",300302,ALTA RESPUESTA,0.635912992,
2023/2024,"(120,150]",300303,ALTA RESPUESTA,0.704933401,
2023/2024,"(120,150]",300303,BAJA RESPUESTA,0.692600495,
2023/2024,"(120,150]",300305,ALTA RESPUESTA,0.564166735,
2023/2024,"(120,150]",300305,BAJA RESPUESTA,0.580437872,
2023/2024,"(120,150]",300306,ALTA RESPUESTA,0.576551163,
2023/2024,"(120,150]",300306,BAJA RESPUESTA,0.652572904,
2023/2024,"(120,150]",300310,ALTA RESPUESTA,0.706622465,
2023/2024,"(120,150]",300310,BAJA RESPUESTA,0.715338254,
2023/2024,"(120,150]",3360101,ALTA RESPUESTA,0.769633401,
2023/2024,"(120,150]",3360101,BAJA RESPUESTA,0.748813381,
2023/2024,"(120,150]",3360102,ALTA RESPUESTA,0.717475138,
2023/2024,"(120,150]",3360102,BAJA RESPUESTA,0.724497654,
2023/2024,"(120,150]",3360103,ALTA RESPUESTA,0.732995727,
2023/2024,"(120,150]",3360103,BAJA RESPUESTA,0.721815205,
2023/2024,"(120,150]",3360104,ALTA RESPUESTA,0.693756645,
2023/2024,"(120,150]",3360104,BAJA RESPUESTA,0.699203564,
2023/2024,"(30,60]",120101,BAJA RESPUESTA,0.366230836,
2023/2024,"(30,60]",120102,BAJA RESPUESTA,0.353647422,
2023/2024,"(30,60]",120103,BAJA RESPUESTA,0.381085021,
2023/2024,"(30,60]",120105,BAJA RESPUESTA,0.274271579,
2023/2024,"(30,60]",120106,BAJA RESPUESTA,0.39275138,
2023/2024,"(30,60]",120110,BAJA RESPUESTA,0.451395291,
2023/2024,"(30,60]",120113,BAJA RESPUESTA,0.47872616,
2023/2024,"(30,60]",150101,ALTA RESPUESTA,0.448657634,
2023/2024,"(30,60]",150101,BAJA RESPUESTA,0.465292628,
2023/2024,"(30,60]",150102,ALTA RESPUESTA,0.468250544,
2023/2024,"(30,60]",150102,BAJA RESPUESTA,0.444533197,
2023/2024,"(30,60]",150103,BAJA RESPUESTA,0.384932377,
2023/2024,"(30,60]",150104,BAJA RESPUESTA,0.407420619,
2023/2024,"(30,60]",150201,ALTA RESPUESTA,0.387942959,
2023/2024,"(30,60]",150201,BAJA RESPUESTA,0.394925083,
2023/2024,"(30,60]",150202,ALTA RESPUESTA,0.402881014,
2023/2024,"(30,60]",150202,BAJA RESPUESTA,0.403598744,
2023/2024,"(30,60]",150203,ALTA RESPUESTA,0.375148441,
2023/2024,"(30,60]",150203,BAJA RESPUESTA,0.392619895,
2023/2024,"(30,60]",150204,ALTA RESPUESTA,0.46249182,
2023/2024,"(30,60]",150204,BAJA RESPUESTA,0.462610435,
2023/2024,"(30,60]",150401,ALTA RESPUESTA,0.343446191,
2023/2024,"(30,60]",150401,BAJA RESPUESTA,0.354096769,
2023/2024,"(30,60]",300108,ALTA RESPUESTA,0.408446068,
2023/2024,"(30,60]",300108,BAJA RESPUESTA,0.338172999,
2023/2024,"(30,60]",300111,ALTA RESPUESTA,0.301566313,
2023/2024,"(30,60]",300112,ALTA RESPUESTA,0.322741423,
2023/2024,"(30,60]",300112,BAJA RESPUESTA,0.272152136,
2023/2024,"(30,60]",300301,ALTA RESPUESTA,0.36348528,
2023/2024,"(30,60]",300301,BAJA RESPUESTA,0.390698261,
2023/2024,"(30,60]",300302,ALTA RESPUESTA,0.381829518,
2023/2024,"(30,60]",300303,ALTA RESPUESTA,0.575068477,
2023/2024,"(30,60]",300303,BAJA RESPUESTA,0.570943244,
2023/2024,"(30,60]",300305,ALTA RESPUESTA,0.309012332,
2023/2024,"(30,60]",300305,BAJA RESPUESTA,0.26956649,
2023/2024,"(30,60]",300306,ALTA RESPUESTA,0.292755714,
2023/2024,"(30,60]",300306,BAJA RESPUESTA,0.327202859,
2023/2024,"(30,60]",300310,ALTA RESPUESTA,0.379178797,
2023/2024,"(30,60]",300310,BAJA RESPUESTA,0.384563204,
2023/2024,"(30,60]",620101,ALTA RESPUESTA,0.485364282,
2023/2024,"(30,60]",620101,BAJA RESPUESTA,0.465576643,
2023/2024,"(30,60]",620103,ALTA RESPUESTA,0.487900848,
2023/2024,"(30,60]",620103,BAJA RESPUESTA,0.491082236,
2023/2024,"(30,60]",620201,ALTA RESPUESTA,0.437854459,
2023/2024,"(30,60]",620201,BAJA RESPUESTA,0.436045709,
2023/2024,"(30,60]",620202,BAJA RESPUESTA,0.407813358,
2023/2024,"(30,60]",3360103,ALTA RESPUESTA,0.540075785,
2023/2024,"(30,60]",3360103,BAJA RESPUESTA,0.50267827,
2023/2024,"(30,60]",3540109,ALTA RESPUESTA,0.365490462,
2023/2024,"(30,60]",3540109,BAJA RESPUESTA,0.410250661,
2023/2024,"(30,60]",3540110,ALTA RESPUESTA,0.357971638,
2023/2024,"(30,60]",3540111,BAJA RESPUESTA,0.404652205,
2023/2024,"(60,90]",120101,BAJA RESPUESTA,0.599185254,
2023/2024,"(60,90]",120102,BAJA RESPUESTA,0.550316851,
2023/2024,"(60,90]",120103,BAJA RESPUESTA,0.502478656,
2023/2024,"(60,90]",120105,BAJA RESPUESTA,0.392288333,
2023/2024,"(60,90]",120106,BAJA RESPUESTA,0.523248502,
2023/2024,"(60,90]",120110,BAJA RESPUESTA,0.567591744,
2023/2024,"(60,90]",120113,BAJA RESPUESTA,0.613764449,
2023/2024,"(60,90]",150101,ALTA RESPUESTA,0.686235412,
2023/2024,"(60,90]",150101,BAJA RESPUESTA,0.646277629,
2023/2024,"(60,90]",150102,ALTA RESPUESTA,0.70906319,
2023/2024,"(60,90]",150102,BAJA RESPUESTA,0.626028032,
2023/2024,"(60,90]",150103,BAJA RESPUESTA,0.613490296,
2023/2024,"(60,90]",150104,BAJA RESPUESTA,0.617046654,
2023/2024,"(60,90]",150201,ALTA RESPUESTA,0.603220315,
2023/2024,"(60,90]",150201,BAJA RESPUESTA,0.636745512,
2023/2024,"(60,90]",150202,ALTA RESPUESTA,0.650373732,
2023/2024,"(60,90]",150202,BAJA RESPUESTA,0.657209088,
2023/2024,"(60,90]",150203,ALTA RESPUESTA,0.654085105,
2023/2024,"(60,90]",150203,BAJA RESPUESTA,0.65270092,
2023/2024,"(60,90]",150204,ALTA RESPUESTA,0.670577925,
2023/2024,"(60,90]",150204,BAJA RESPUESTA,0.658346095,
2023/2024,"(60,90]",150401,ALTA RESPUESTA,0.483832909,
2023/2024,"(60,90]",150401,BAJA RESPUESTA,0.466818057,
2023/2024,"(60,90]",300101,ALTA RESPUESTA,0.512672886,
2023/2024,"(60,90]",300101,BAJA RESPUESTA,0.407589131,
2023/2024,"(60,90]",300102,ALTA RESPUESTA,0.594502305,
2023/2024,"(60,90]",300103,ALTA RESPUESTA,0.591627548,
2023/2024,"(60,90]",300103,BAJA RESPUESTA,0.573441681,
2023/2024,"(60,90]",300104,ALTA RESPUESTA,0.504639311,
2023/2024,"(60,90]",300104,BAJA RESPUESTA,0.451119394,
2023/2024,"(60,90]",300105,ALTA RESPUESTA,0.435546094,
2023/2024,"(60,90]",300105,BAJA RESPUESTA,0.42008505,
2023/2024,"(60,90]",300106,ALTA RESPUESTA,0.525073339,
2023/2024,"(60,90]",300106,BAJA RESPUESTA,0.477119014,
2023/2024,"(60,90]",300107,ALTA RESPUESTA,0.547753704,
2023/2024,"(60,90]",300107,BAJA RESPUESTA,0.511457061,
2023/2024,"(60,90]",300108,ALTA RESPUESTA,0.51959355,
2023/2024,"(60,90]",300108,BAJA RESPUESTA,0.508183969,
2023/2024,"(60,90]",300109,ALTA RESPUESTA,0.543757392,
2023/2024,"(60,90]",300110,ALTA RESPUESTA,0.565986558,
2023/2024,"(60,90]",300110,BAJA RESPUESTA,0.525377929,
2023/2024,"(60,90]",300111,ALTA RESPUESTA,0.40804083,
2023/2024,"(60,90]",300112,ALTA RESPUESTA,0.475311082,
2023/2024,"(60,90]",300112,BAJA RESPUESTA,0.33879326,
2023/2024,"(60,90]",300113,ALTA RESPUESTA,0.436608309,
2023/2024,"(60,90]",300113,BAJA RESPUESTA,0.544278372,
2023/2024,"(60,90]",300201,ALTA RESPUESTA,0.393083859,
2023/2024,"(60,90]",300201,BAJA RESPUESTA,0.360650351,
2023/2024,"(60,90]",300202,ALTA RESPUESTA,0.409243913,
2023/2024,"(60,90]",300202,BAJA RESPUESTA,0.416454881,
2023/2024,"(60,90]",300203,ALTA RESPUESTA,0.464835896,
2023/2024,"(60,90]",300203,BAJA RESPUESTA,0.499458028,
2023/2024,"(60,90]",300204,ALTA RESPUESTA,0.457496532,
2023/2024,"(60,90]",300205,ALTA RESPUESTA,0.576006256,
2023/2024,"(60,90]",300205,BAJA RESPUESTA,0.570613065,
2023/2024,"(60,90]",300206,ALTA RESPUESTA,0.386264307,
2023/2024,"(60,90]",300206,BAJA RESPUESTA,0.496193728,
2023/2024,"(60,90]",300207,ALTA RESPUESTA,0.519595415,
2023/2024,"(60,90]",300207,BAJA RESPUESTA,0.472232485,
2023/2024,"(60,90]",300208,BAJA RESPUESTA,0.515708412,
2023/2024,"(60,90]",300209,ALTA RESPUESTA,0.562826181,
2023/2024,"(60,90]",300209,BAJA RESPUESTA,0.575758936,
2023/2024,"(60,90]",300210,BAJA RESPUESTA,0.529817052,
2023/2024,"(60,90]",300301,ALTA RESPUESTA,0.508331746,
2023/2024,"(60,90]",300301,BAJA RESPUESTA,0.515897456,
2023/2024,"(60,90]",300302,ALTA RESPUESTA,0.54021373,
2023/2024,"(60,90]",300303,ALTA RESPUESTA,0.716204839,
2023/2024,"(60,90]",300303,BAJA RESPUESTA,0.692632709,
2023/2024,"(60,90]",300305,ALTA RESPUESTA,0.403724655,
2023/2024,"(60,90]",300305,BAJA RESPUESTA,0.389692163,
2023/2024,"(60,90]",300306,ALTA RESPUESTA,0.391593782,
2023/2024,"(60,90]",300306,BAJA RESPUESTA,0.440456297,
2023/2024,"(60,90]",300310,ALTA RESPUESTA,0.546566918,
2023/2024,"(60,90]",300310,BAJA RESPUESTA,0.570174299,
2023/2024,"(60,90]",620101,ALTA RESPUESTA,0.631253515,
2023/2024,"(60,90]",620101,BAJA RESPUESTA,0.619846204,
2023/2024,"(60,90]",620103,ALTA RESPUESTA,0.575767964,
2023/2024,"(60,90]",620103,BAJA RESPUESTA,0.588179142,
2023/2024,"(60,90]",620201,ALTA RESPUESTA,0.569022098,
2023/2024,"(60,90]",620201,BAJA RESPUESTA,0.545652684,
2023/2024,"(60,90]",620202,BAJA RESPUESTA,0.55547628,
2023/2024,"(60,90]",3360101,ALTA RESPUESTA,0.671636181,
2023/2024,"(60,90]",3360101,BAJA RESPUESTA,0.667367875,
2023/2024,"(60,90]",3360102,ALTA RESPUESTA,0.631787453,
2023/2024,"(60,90]",3360102,BAJA RESPUESTA,0.646280637,
2023/2024,"(60,90]",3360103,ALTA RESPUESTA,0.669095689,
2023/2024,"(60,90]",3360103,BAJA RESPUESTA,0.656186726,
2023/2024,"(60,90]",3360104,ALTA RESPUESTA,0.659673769,
2023/2024,"(60,90]",3360104,BAJA RESPUESTA,0.643879053,
2023/2024,"(60,90]",3540109,ALTA RESPUESTA,0.631920303,
2023/2024,"(60,90]",3540109,BAJA RESPUESTA,0.686561393,
2023/2024,"(60,90]",3540110,ALTA RESPUESTA,0.629309114,
2023/2024,"(60,90]",3540111,BAJA RESPUESTA,0.652909189,
2023/2024,"(90,120]",120101,BAJA RESPUESTA,0.675964604,
2023/2024,"(90,120]",120102,BAJA RESPUESTA,0.640692679,
2023/2024,"(90,120]",120103,BAJA RESPUESTA,0.60515167,
2023/2024,"(90,120]",120105,BAJA RESPUESTA,0.5244257,
2023/2024,"(90,120]",120106,BAJA RESPUESTA,0.582028781,
2023/2024,"(90,120]",120110,BAJA RESPUESTA,0.630013468,
2023/2024,"(90,120]",120113,BAJA RESPUESTA,0.698903632,
2023/2024,"(90,120]",150101,ALTA RESPUESTA,0.714189144,
2023/2024,"(90,120]",150101,BAJA RESPUESTA,0.679024657,
2023/2024,"(90,120]",150102,ALTA RESPUESTA,0.692733854,
2023/2024,"(90,120]",150102,BAJA RESPUESTA,0.657196714,
2023/2024,"(90,120]",150103,BAJA RESPUESTA,0.621173336,
2023/2024,"(90,120]",150104,BAJA RESPUESTA,0.618526142,
2023/2024,"(90,120]",150201,ALTA RESPUESTA,0.651061339,
2023/2024,"(90,120]",150201,BAJA RESPUESTA,0.673738188,
2023/2024,"(90,120]",150202,ALTA RESPUESTA,0.702532533,
2023/2024,"(90,120]",150202,BAJA RESPUESTA,0.691800753,
2023/2024,"(90,120]",150203,ALTA RESPUESTA,0.676564666,
2023/2024,"(90,120]",150203,BAJA RESPUESTA,0.674672454,
2023/2024,"(90,120]",150204,ALTA RESPUESTA,0.698527397,
2023/2024,"(90,120]",150204,BAJA RESPUESTA,0.682569151,
2023/2024,"(90,120]",150401,ALTA RESPUESTA,0.620107381,
2023/2024,"(90,120]",150401,BAJA RESPUESTA,0.575262737,
2023/2024,"(90,120]",300101,ALTA RESPUESTA,0.661620894,
2023/2024,"(90,120]",300101,BAJA RESPUESTA,0.601837589,
2023/2024,"(90,120]",300102,ALTA RESPUESTA,0.698375965,
2023/2024,"(90,120]",300103,ALTA RESPUESTA,0.712293801,
2023/2024,"(90,120]",300103,BAJA RESPUESTA,0.682725153,
2023/2024,"(90,120]",300104,ALTA RESPUESTA,0.635941911,
2023/2024,"(90,120]",300104,BAJA RESPUESTA,0.592502406,
2023/2024,"(90,120]",300105,ALTA RESPUESTA,0.536468641,
2023/2024,"(90,120]",300105,BAJA RESPUESTA,0.532089372,
2023/2024,"(90,120]",300106,ALTA RESPUESTA,0.630613612,
2023/2024,"(90,120]",300106,BAJA RESPUESTA,0.607816867,
2023/2024,"(90,120]",300107,ALTA RESPUESTA,0.691776943,
2023/2024,"(90,120]",300107,BAJA RESPUESTA,0.648422747,
2023/2024,"(90,120]",300108,ALTA RESPUESTA,0.614163121,
2023/2024,"(90,120]",300108,BAJA RESPUESTA,0.645796176,
2023/2024,"(90,120]",300109,ALTA RESPUESTA,0.671271491,
2023/2024,"(90,120]",300110,ALTA RESPUESTA,0.67457692,
2023/2024,"(90,120]",300110,BAJA RESPUESTA,0.638374077,
2023/2024,"(90,120]",300111,ALTA RESPUESTA,0.531670071,
2023/2024,"(90,120]",300112,ALTA RESPUESTA,0.58443936,
2023/2024,"(90,120]",300112,BAJA RESPUESTA,0.426635315,
2023/2024,"(90,120]",300113,ALTA RESPUESTA,0.486620881,
2023/2024,"(90,120]",300113,BAJA RESPUESTA,0.591015501,
2023/2024,"(90,120]",300201,ALTA RESPUESTA,0.575600329,
2023/2024,"(90,120]",300201,BAJA RESPUESTA,0.529179041,
2023/2024,"(90,120]",300202,ALTA RESPUESTA,0.62269691,
2023/2024,"(90,120]",300202,BAJA RESPUESTA,0.624663455,
2023/2024,"(90,120]",300203,ALTA RESPUESTA,0.606462773,
2023/2024,"(90,120]",300203,BAJA RESPUESTA,0.67728854,
2023/2024,"(90,120]",300204,ALTA RESPUESTA,0.602265065,
2023/2024,"(90,120]",300205,ALTA RESPUESTA,0.627134215,
2023/2024,"(90,120]",300205,BAJA RESPUESTA,0.610325334,
2023/2024,"(90,120]",300206,ALTA RESPUESTA,0.485277122,
2023/2024,"(90,120]",300206,BAJA RESPUESTA,0.643469863,
2023/2024,"(90,120]",300207,ALTA RESPUESTA,0.659715759,
2023/2024,"(90,120]",300207,BAJA RESPUESTA,0.628946543,
2023/2024,"(90,120]",300208,BAJA RESPUESTA,0.576475442,
2023/2024,"(90,120]",300209,ALTA RESPUESTA,0.704911692,
2023/2024,"(90,120]",300209,BAJA RESPUESTA,0.70051819,
2023/2024,"(90,120]",300301,ALTA RESPUESTA,0.648927539,
2023/2024,"(90,120]",300301,BAJA RESPUESTA,0.648510612,
2023/2024,"(90,120]",300302,ALTA RESPUESTA,0.666611047,
2023/2024,"(90,120]",300303,ALTA RESPUESTA,0.764017716,
2023/2024,"(90,120]",300303,BAJA RESPUESTA,0.749520188,
2023/2024,"(90,120]",300305,ALTA RESPUESTA,0.602157211,
2023/2024,"(90,120]",300305,BAJA RESPUESTA,0.58173893,
2023/2024,"(90,120]",300306,ALTA RESPUESTA,0.589078767,
2023/2024,"(90,120]",300306,BAJA RESPUESTA,0.661933749,
2023/2024,"(90,120]",300310,ALTA RESPUESTA,0.702579867,
2023/2024,"(90,120]",300310,BAJA RESPUESTA,0.720535114,
2023/2024,"(90,120]",620101,ALTA RESPUESTA,0.62612502,
2023/2024,"(90,120]",620101,BAJA RESPUESTA,0.592854475,
2023/2024,"(90,120]",620103,ALTA RESPUESTA,0.544712928,
2023/2024,"(90,120]",620103,BAJA RESPUESTA,0.560080276,
2023/2024,"(90,120]",620201,ALTA RESPUESTA,0.568984383,
2023/2024,"(90,120]",620201,BAJA RESPUESTA,0.538466386,
2023/2024,"(90,120]",620202,BAJA RESPUESTA,0.599252324,
2023/2024,"(90,120]",3360101,ALTA RESPUESTA,0.738633611,
2023/2024,"(90,120]",3360101,BAJA RESPUESTA,0.715432088,
2023/2024,"(90,120]",3360102,ALTA RESPUESTA,0.67544856,
2023/2024,"(90,120]",3360102,BAJA RESPUESTA,0.687558553,
2023/2024,"(90,120]",3360103,ALTA RESPUESTA,0.707612326,
2023/2024,"(90,120]",3360103,BAJA RESPUESTA,0.699810234,
2023/2024,"(90,120]",3360104,ALTA RESPUESTA,0.687653595,
2023/2024,"(90,120]",3360104,BAJA RESPUESTA,0.691836854,
2023/2024,"(90,120]",3540109,ALTA RESPUESTA,0.713809852,
2023/2024,"(90,120]",3540109,BAJA RESPUESTA,0.7652373,
2023/2024,"(90,120]",3540110,ALTA RESPUESTA,0.7217891,
2023/2024,"(90,120]",3540111,BAJA RESPUESTA,0.732012519,
